Name,2014-07-10,2014-07-11,2014-07-12,2014-07-13,2014-07-14,2014-07-15,2014-07-16,2014-07-17,2014-07-18,2014-07-19,2014-07-20,2014-07-21,2014-07-22,2014-07-23,2014-07-24,2014-07-25,2014-07-26,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21,2014-09-22,2014-09-23,2014-09-24,2014-09-25,2014-09-26,2014-09-27,2014-09-28,2014-09-29,2014-09-30,2014-10-01,2014-10-02,2014-10-03,2014-10-04,2014-10-05,2014-10-06,2014-10-07,2014-10-08,2014-10-09,2014-10-10,2014-10-11,2014-10-12,2014-10-13,2014-10-14,2014-10-15,2014-10-16,2014-10-17,2014-10-18,2014-10-19,2014-10-20,2014-10-21,2014-10-22,2014-10-23,2014-10-24,2014-10-25,2014-10-26,2014-10-27,2014-10-28,2014-10-29,2014-10-30,2014-10-31,2014-11-01
Nigeria,8.3,8.3,8.3,8.3,23.8,39.3,54.8,70.2,85.7,101.2,116.7,158.3,200.0,241.7,283.3,325.0,366.7,408.3,327.8,247.2,166.7,183.3,175.0,158.3,133.3,183.3,225.0,258.3,266.7,833.3,300.0,216.7,191.7,183.3,166.7,216.7,191.7,141.7,158.3,133.3,108.3,108.3,100.0,83.3,58.3,66.7,58.3,66.7,66.7,108.3,108.3,83.3,91.7,83.3,83.3,100.0,75.0,66.7,66.7,58.3,50.0,66.7,58.3,66.7,50.0,41.7,41.7,33.3,41.7,50.0,41.7,41.7,33.3,33.3,33.3,33.3,33.3,33.3,25.0,25.0,25.0,25.0,25.0,25.0,33.3,33.3,266.7,183.3,233.3,233.3,291.7,308.3,258.3,208.3,266.7,241.7,225.0,250.0,266.7,225.0,208.3,191.7,258.3,208.3,175.0,133.3,175.0,133.3,141.7,125.0,133.3,125.0,150.0,116.7,75.0
United States,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.6,0.7,0.9,1.0,4.0,7.0,10.0,13.0,16.0,19.0,22.0,19.0,16.0,13.0,16.0,26.0,31.0,22.0,21.0,26.0,20.0,15.0,15.0,11.0,8.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,7.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,29.0,53.0,66.0,63.0,48.0,42.0,41.0,34.0,55.0,56.0,41.0,28.0,47.0,52.0,55.0,90.0,100.0,81.0,51.0,35.0,34.0,34.0,26.0,22.0,51.0,23.0,20.0,24.0,20.0,17.0,15.0,13.0,10.0
