Web Search interest: ebola
United States; Turkey
Past 90 days

Interest over time
Day,United States,Turkey
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for Turkey
ebola belirtileri,Breakout
ebola hastalığı,Breakout
ebola nasıl bulaşır,Breakout
ebola ne,Breakout
ebola türkiye,Breakout
ebola virusu,Breakout
ebola virüsü belirtileri,Breakout
ebola virüsü nedir,Breakout
mers,Breakout
ebola nedir,+250%



