Web Search interest: ebola
United States; United Kingdom
Past 90 days

Interest over time
Day,United States,United Kingdom
ebola outbreak,25
bbc ebola,20
ebola in uk,15
symptoms of ebola,15
bbc news ebola,15
ebola 2014,15
ebola zombie,10
zombie,10
africa,10
ebola cure,10
ebola africa,10
the ebola virus,10
nigeria,10
ebola spread,10
ebola nigeria,10
ebola london,10
ebola disease,10
ebola virus symptoms,10
ebola map,10
latest ebola,5
ebola who,5
ebola victim,5
ebola virus uk,5
us ebola,5
ebola countries,5
ebola england,5
ebola airborne,5
spain ebola,5
nhs ebola,5
ebola in nigeria,5
ebola vaccine,5
cure for ebola,5
ebola nurse,5
where is ebola,5
ebola latest news,5
ebola virus news,5
sierra leone,5
sierra leone ebola,5



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for United Kingdom
ebola victim,Breakout
ebola zombie,Breakout
zombie,Breakout
symptoms of ebola,+180%
ebola london,+110%
uk ebola,+110%
ebola cure,+100%
ebola in uk,+90%
latest ebola,+90%
ebola symptoms,+60%



